fecha,mes,oficina,codigo_oficina,tipo_hoja,resmas
2026-01-01,2026-01,SAF,227/228,A4,1
2026-01-01,2026-01,Asesoris Gral,236/237,A4,1
2026-01-01,2026-01,DGD,229,A4,1
2026-01-01,2026-01,Contencioso Adm,239/240,A4,1
2026-01-01,2026-01,Oficina Fiscal,234,A4,1
2026-01-29,2026-01,SAF,227/228,A4,1
2026-01-30,2026-01,DGD,229,A4,1
2026-02-02,2026-02,Sumarios,226,A4,1
2026-02-05,2026-02,SAF,227/228,A4,1
2026-02-05,2026-02,Ejecuciones Fiscales,241,A4,1
2026-02-05,2026-02,Asesoria gral,236/237,A4,1
2026-02-05,2026-02,Contencioso administrativo,239/240,A4,1
2026-02-06,2026-02,Oficina Fiscal,234,A4,1
2026-02-06,2026-02,DGD,229,OFICIO,1
2026-02-06,2026-02,Rosario,,A4,5
2026-02-10,2026-02,Asesoria gral,236/237,A4,1
2026-02-10,2026-02,DGD,229,A4,1
2026-02-13,2026-02,DGD,229,OFICIO,1
2026-02-13,2026-02,SAF,227/228,A4,1
2026-02-13,2026-02,SAF,227/228,A4,1
2026-02-20,2026-02,DGD,229,A4,1
2026-02-20,2026-02,Contencioso administrativo,239/240,A4,1
2026-02-20,2026-02,Asesoria gral,236/237,A4,1
2026-02-22,2026-02,Sumarios,226,A4,1
2026-02-24,2026-02,SAF,227/228,A4,1
2026-02-26,2026-02,Procuracion,230,A4,1
2026-02-27,2026-02,DGD,229,A4,1
2026-02-27,2026-02,Contencioso administrativo,239/240,A4,1
2026-03-04,2026-03,Asesoria gral,236/237,A4,1
2026-03-04,2026-03,Ejecuciones Fiscales,241,A4,1
2026-03-04,2026-03,SAF,227/228,A4,1
2026-03-04,2026-03,DGD,229,A4,1
2026-03-04,2026-03,Procuracion,231/232,A4,1
2026-03-09,2026-03,Asesoria gral,236/237,A4,1
2026-03-10,2026-03,SAF,227/228,A4,1
2026-03-10,2026-03,SAF,227/228,A4,1
2026-03-13,2026-03,Asesoria gral,236/237,A4,1
2026-03-13,2026-03,Sumarios,226,A4,1
2026-03-16,2026-03,DGD,229,A4,1
2026-03-17,2026-03,DGD,229,A4,1
2026-03-17,2026-03,DGD,229,OFICIO,1
2026-03-18,2026-03,Asesoria gral,236/237,A4,1
2026-03-20,2026-03,DGD,229,A4,1
2026-03-20,2026-03,SAF,227/228,A4,1
2026-03-20,2026-03,Ejecuciones Fiscales,241,A4,1
2026-03-25,2026-03,SAF,227/228,A4,1
2026-03-26,2026-03,Asesoria gral,236/237,A4,1
2026-03-27,2026-03,Asesoria gral,236/237,A4,1
2026-03-31,2026-03,Asesoria gral,236/237,A4,1
